ID,EMPLOYEE_ID,DEPARTMENT,POSITION,START_DATE,END_DATE,SALARY,REASON_FOR_LEAVING
1,1,Engineering,Junior Software Engineer,2017-06-01,2019-05-31,60000,Promotion to Software Engineer
2,1,Engineering,Software Engineer,2019-06-01,2021-05-31,75000,Seeking better opportunities
3,8,Engineering,Junior Machine Learning Engineer,2016-05-01,2018-06-30,90000,Promotion to ML Engineer
4,8,Engineering,Machine Learning Engineer,2018-07-01,2020-06-30,120000,Internal department transfer
5,17,IT,Network Administrator,2015-02-01,2017-05-31,65000,Promotion to Network Security Engineer
6,17,IT,Network Security Engineer,2017-06-01,2018-09-30,90000,Career growth in cloud infrastructure
7,32,IT,Cloud Engineer,2018-10-01,2020-07-31,105000,Transition to DevOps
8,32,IT,DevOps Specialist,2020-08-01,2022-05-31,98000,New role at another company
9,34,Engineering,Junior Security Engineer,2015-09-01,2018-10-31,80000,Promotion to Security Engineer
10,34,Engineering,Security Engineer,2018-11-01,2021-10-31,108000,Job change for career advancement
